Settlement Date,All Prod,Prod Forecast,Cons Forecast,Wind Prod,Wind Forecast,DA price,Imb up price,Imb down price,Gas Price
2015-01-31,2764.6556627906975,30668.666666666668,28303.032258064515,2103.57275,2827.992444435485,43.250322580645154,34.577296774193535,26.520873629032263,44.90967741935486
2015-02-28,2899.406635215453,32874.0,29392.776785714286,1927.8026153846154,2128.1835909821425,45.007499999999986,38.723941964285736,31.59521964285713,47.96517857142857
2015-03-31,2698.308,31195.206896551725,27051.548387096773,1825.892857142857,1958.0992818181817,45.97161290322582,37.23673548387098,30.575513709677416,45.566129032258054
2015-04-30,2374.735833333333,27627.0,24429.7,735.925925925926,780.5848749999999,48.37499999999999,39.402995,30.730720999999978,44.72166666666667
2015-05-31,2280.668490833333,25496.363636363636,22369.16129032258,1678.0445,1987.7267142857145,45.44354838709678,42.82499758064516,28.248354677419357,43.34677419354838
2015-06-30,2189.8033333333333,24616.75,21424.575,1134.69,1297.923423076923,46.638,43.47015333333334,31.383842499999993,42.97916666666665
2015-07-31,2104.6283685483863,24854.666666666668,21134.5564516129,533.1878333333334,1822.844922222223,46.163548387096775,40.3989837398374,30.265072520325205,43.24677419354838
2015-08-31,2067.4,22750.38888888889,20704.99193548387,693.480076923077,1372.5866666666668,44.88870967741935,39.30510322580645,31.977190322580647,40.280645161290316
2015-09-30,2165.971063333333,25113.922481413865,21544.833333333332,716.2322857142857,1403.655766666667,44.81566666666667,36.5685975,31.720674166666672,41.73249999999999
2015-10-31,2386.8360768,25250.4,23146.048387096773,1287.8106875,1898.9709999999998,43.9525806451613,35.45179032258064,30.30410000000001,40.802419354838705
2015-11-30,2563.735,26137.666666666668,24111.891666666666,2020.533590909091,3018.2482666666674,38.80900000000001,33.15724583333334,32.174870000000006,38.519166666666656
2015-12-31,2553.317741935484,27580.81818181818,23798.483870967742,1818.9247000000003,3694.945499999999,36.495483870967746,24.918585322580636,24.918585322580636,36.511290322580635
2016-01-31,2759.5459983870965,29695.75,26492.435483870966,1014.8707916666668,2431.1915714285715,37.39645161290322,31.907770161290323,31.907770161290323,32.35806451612902
2016-02-29,2757.064655172414,30922.625,27031.931034482757,1816.0181666666667,1577.886366666667,34.9748275862069,29.245516293103446,29.245516293103446,31.58103448275861
2016-03-31,2651.3829,30281.4,26662.177419354837,1540.8372222222217,2980.450000000001,35.52516129032258,27.277166129032256,27.277166129032256,31.25725806451613
2016-04-30,2508.899293333334,27270.666666666668,24835.016666666666,1136.2486428571426,2493.6095,36.660333333333334,35.34712083333334,35.34712083333334,31.734166666666674
2016-05-31,2159.8702726562487,25421.25,21512.435483870966,1228.0854285714286,2979.9334999999996,35.009032258064515,25.673729999999992,25.673729999999992,31.88064516129032
2016-06-30,2133.9049583333326,23303.272727272728,21084.5,1138.64475,757.6475,36.255333333333326,31.33341583333332,31.33341583333332,34.09833333333334
2016-07-31,2157.8083617886177,22216.615384615383,20346.798387096773,1446.4836,1132.0678333333333,36.273225806451606,27.72141443548388,27.72141443548388,34.51693548387098
2016-08-31,2101.886916528924,22107.74193548387,19868.540322580644,1112.3597499999998,1475.182058823529,31.319354838709682,25.37085096774194,25.37085096774194,30.710483870967742
2016-09-30,2189.925786666667,23229.666666666668,20113.158333333333,1515.468375,1556.6523749999997,30.590333333333334,23.79228583333333,23.79228583333333,31.360833333333332
2016-10-31,2505.826796774194,25842.434782608696,22293.387096774193,1551.1525999999997,1594.4770833333334,37.92096774193548,28.654023306451624,28.654023306451624,40.372580645161285
2016-11-30,2787.5684728813553,28715.41176470588,25470.691666666666,1869.1567500000003,2200.7948611111115,39.22933333333333,38.0992104098361,38.0992104098361,41.67916666666667
2016-12-31,2826.410380645163,29285.444444444445,25511.072580645163,1739.4514285714286,2332.1236999999996,40.90032258064516,34.289104112903225,34.289104112903225,41.82177419354838
2017-01-31,3007.8549336065557,29284.45,27293.3064516129,2432.0738,2241.3948333333333,48.18322580645162,38.92895830645162,38.92895830645162,50.35403225806452
2017-02-28,2733.896996396396,27532.428571428572,25986.758928571428,2671.9118333333336,3521.5977727272734,42.59749999999999,36.19483848214285,36.19483848214285,46.13571428571429
2017-03-31,2512.2894617886186,24909.6,24619.620967741936,2350.5706578947365,3381.7429,39.60903225806451,30.90731403225808,30.90731403225808,42.02903225806451
2017-04-30,2268.0711975,23654.9375,22705.158333333333,1054.535375,645.68484375,42.09766666666667,34.150844750000005,34.150844750000005,41.81416666666667
2017-05-31,2190.161373170733,22146.3,21394.41129032258,886.9699999999999,1898.9288492857143,40.41193548387096,39.829938079999984,39.829938079999984,41.12822580645162
2017-06-30,2071.415512711865,21436.81818181818,20069.483333333334,1274.6017916666663,2373.4123437499993,36.80033333333334,31.824353916666652,31.824353916666652,38.39083333333333
2017-07-31,2027.536881300813,20454.81818181818,19778.879032258064,1720.9201666666668,1372.8645000000001,34.39290322580645,28.666961451612888,28.666961451612888,39.6108870967742
2017-08-31,1896.6127751572326,20216.7,19470.120967741936,1653.212,2292.9885000000004,38.609032258064516,35.22259758064516,35.22259758064516,44.39274193548387
2017-09-30,1921.8367509549278,20862.95,20071.75,1658.674214285714,2397.5209285714286,41.941666666666656,39.50255591666665,39.50255591666665,45.6
2017-10-31,1942.8081803399855,22931.951219512193,20445.33870967742,3473.379777777778,4771.3700714285715,42.88354838709679,30.97610193548387,30.97610193548387,44.65806451612905
2017-11-30,2335.4663177998486,25121.896551724138,24198.716666666667,2961.6634523809516,4088.7617500000006,44.62,42.792256416666675,42.792256416666675,50.478333333333325
