Settlement Date,All Prod,Prod Forecast,Cons Forecast,Wind Prod,Wind Forecast,DA price,Imb up price,Imb down price,Gas Price
2015-01-31,4435.861310289389,49027.25,47138.854838709674,2280.9225,2866.5832262096774,58.99838709677419,64.0619451612903,46.1218298387097,44.90967741935486
2015-02-28,4465.35303030303,50239.166666666664,45440.52678571428,1731.6666666666667,2134.678571071428,58.05714285714287,63.1787455357143,46.75101874999999,47.96517857142857
2015-03-31,4009.6728,46776.6,40755.467741935485,1579.7222222222222,2055.742349999996,56.295161290322596,49.48255241935483,38.71993588709679,45.566129032258054
2015-04-30,3429.625619834711,42139.0,34186.166666666664,1030.764705882353,1485.2207499999997,61.587333333333326,44.73272916666666,36.05382083333333,44.72166666666667
2015-05-31,3431.5358650000003,38988.862068965514,32826.48387096774,2301.3385000000003,2181.8431447368434,61.08903225806452,47.924966129032256,36.930524435483875,43.34677419354838
2015-06-30,3465.427731092437,38620.875,32670.966666666667,2476.6615,1713.0111071428564,62.47533333333334,50.705845000000004,36.98531333333334,42.97916666666665
2015-07-31,3446.957208064516,38112.88888888889,32489.612903225807,855.7275833333333,2222.843516949153,62.33677419354838,51.1252677419355,37.8202743548387,43.24677419354838
2015-08-31,3342.476612903226,35689.857142857145,32141.6935483871,1023.8145263157894,1883.5712333333333,57.302258064516124,52.09899677419354,38.65346935483872,40.280645161290316
2015-09-30,3498.0240975,39178.0,34678.76666666667,1042.2760000000003,1388.40325,58.837333333333355,47.96567999999999,37.87177583333333,41.73249999999999
2015-10-31,3872.800401612903,44346.09090909091,38534.74193548387,1229.356657894737,1047.2603333333332,55.093548387096774,55.902058870967736,40.04068709677421,40.802419354838705
2015-11-30,4378.946873333333,45339.5,43901.825,2823.2565,2954.0527499999994,61.69000000000002,66.82945500000001,57.49322583333333,38.519166666666656
2015-12-31,4213.221774193548,47026.0,42598.54838709677,2331.5000000000005,3683.4445400000004,56.64870967741936,42.89570241935482,42.89570241935482,36.511290322580635
2016-01-31,4463.543621138211,50356.0,45153.98387096774,2208.6352142857145,3169.6391249999997,55.96096774193549,47.94632499999998,47.94632499999998,32.35806451612902
2016-02-29,4248.131896551724,47578.25,42947.99137931035,1075.1466666666668,2055.685636363636,46.5096551724138,44.59191672413793,44.59191672413793,31.58103448275861
2016-03-31,3921.357810483873,45241.2,39320.76612903226,2660.0792058823527,1742.5894500000002,44.70096774193549,47.29170266129033,47.29170266129033,31.25725806451613
2016-04-30,3575.0165825000004,41010.333333333336,34327.708333333336,976.314,2580.523875,48.109,43.14628750000004,43.14628750000004,31.734166666666674
2016-05-31,3266.9419640624974,38007.71428571428,30886.33870967742,1733.56,2450.0703000000003,52.2816129032258,34.61486674242424,34.61486674242424,31.88064516129032
2016-06-30,3330.7332892561976,36908.380952380954,31961.533333333333,1217.1227812500003,1065.3328750000003,54.07066666666667,43.8781108333333,43.8781108333333,34.09833333333334
2016-07-31,3188.8352959349595,32614.777777777777,30011.362903225807,1946.3633333333337,1897.8784999999998,53.453548387096774,32.52154306451613,32.52154306451613,34.51693548387098
2016-08-31,3167.7623626016266,34340.54054054054,29877.362903225807,1691.1055714285717,2112.030150000001,49.16193548387096,34.6796258064516,34.6796258064516,30.710483870967742
2016-09-30,3341.2206754237286,40540.444444444445,32613.341666666667,1904.5213461538463,2876.2655,57.30466666666666,61.72404966666666,61.72404966666666,31.360833333333332
2016-10-31,3661.273209677418,39980.68965517241,36096.8870967742,1372.8947692307688,1505.9007500000002,56.9674193548387,58.95575580645163,58.95575580645163,40.372580645161285
2016-11-30,4348.230761344535,51015.57142857143,44773.24166666667,2076.7074166666666,2876.2011315789473,80.89566666666666,122.5677350833333,122.5677350833333,41.67916666666667
2016-12-31,4305.758417886175,47801.6,43417.403225806454,2254.6273333333334,1856.6996,65.54161290322581,61.44316435483871,61.44316435483871,41.82177419354838
2017-01-31,4653.701517886177,48145.5,45878.67741935484,3193.554222222223,2474.313437499999,73.91935483870968,72.85834572580646,72.85834572580646,50.35403225806452
2017-02-28,4221.394313392857,44589.666666666664,42209.34821428572,3302.0959642857133,4206.146738095239,54.73178571428572,54.71386741071431,54.71386741071431,46.13571428571429
2017-03-31,3687.697438333332,38881.47826086957,37016.27419354839,1827.8544285714283,1604.2507500000002,49.2358064516129,42.85922903225809,42.85922903225809,42.02903225806451
2017-04-30,3293.9256416666667,35160.54838709677,30520.25,706.7600000000001,404.4596000000001,48.580333333333336,37.45379533333333,37.45379533333333,41.81416666666667
2017-05-31,3274.2782235772365,37863.17647058824,30579.725806451614,1174.206,2433.5801875,50.75935483870969,72.53126959677418,72.53126959677418,41.12822580645162
2017-06-30,3221.2479940677968,35690.36363636364,29851.866666666665,1355.6312692307695,3717.7460000000005,51.995,41.54916874999999,41.54916874999999,38.39083333333333
2017-07-31,3125.6815975609743,30611.823529411766,29473.927419354837,1831.371125,1221.4873571428573,48.78612903225805,44.310312016129004,44.310312016129004,39.6108870967742
2017-08-31,2953.6679297839523,33588.82352941176,29392.790322580644,1928.5620555555554,2896.2110000000002,50.32032258064516,40.084170241935475,40.084170241935475,44.39274193548387
2017-09-30,3012.707053030305,37032.0625,32379.216666666667,2347.63775,2495.3560625,53.71533333333333,53.871837083333304,53.871837083333304,45.6
2017-10-31,3270.6175587583148,38841.7,35221.83870967742,2890.270233333333,4598.69525,55.29032258064517,48.60906588709676,48.60906588709676,44.65806451612905
2017-11-30,3974.0623399541614,44579.85106382979,42802.291666666664,3099.7259999999997,3598.8274499999998,67.10400000000001,59.247408083333326,59.247408083333326,50.478333333333325
