,All Prod,Prod Forecast,Cons Forecast,Wind Prod,Wind Forecast,DA price,Imb up price,Imb down price,Gas Price
2013-01-01,1478.0,715.0,1654.0,867.0,941.0,0.1,0.1,0.1,27.28
2013-01-02,1569.0,1126.0,1600.0,822.0,889.0,11.81,11.81,-66.89,27.275
2013-01-03,2849.0,1128.0,1784.0,2101.0,2103.0,13.99,13.99,13.99,26.6
2013-01-04,2692.0,1049.0,1916.0,1929.0,1905.0,11.04,11.04,11.04,27.715999999999998
2013-01-05,2086.0,1559.0,1774.0,889.0,575.0,30.95,30.95,25.48,28.229
2013-01-06,1841.0,1729.0,1626.0,399.0,529.0,32.41,32.41,31.4,27.631999999999998
2013-01-07,1439.0,1476.0,1897.0,44.0,51.0,33.26,33.26,25.91,30.413
2013-01-08,2048.0,1828.0,1878.0,302.0,398.0,34.84,34.84,32.11,30.266
2013-01-09,2034.0,1684.0,1874.0,116.0,261.0,35.73,39.54,35.73,28.183000000000003
2013-01-10,2438.0,1747.0,1829.0,1364.0,1410.0,33.26,33.26,3.0,27.541999999999998
2013-01-11,2314.0,1965.0,1918.0,531.0,840.0,35.31,35.31,35.31,27.666999999999998
2013-01-12,2241.0,1906.0,1838.0,289.0,517.0,36.98,41.0,36.98,30.587
2013-01-13,1940.0,1726.0,1670.0,276.0,178.0,36.81,36.81,34.0,25.283
2013-01-14,2418.0,2031.0,1895.0,427.0,446.0,36.83,36.83,33.02,26.075
2013-01-15,2821.0,2305.0,1926.0,494.0,544.0,37.91,37.91,33.5,25.712
2013-01-16,2521.0,2258.0,1903.0,52.0,82.0,37.96,41.76,37.96,25.921
2013-01-17,2383.0,2283.0,2145.0,113.0,214.0,39.23,39.23,33.01,26.055999999999997
2013-01-18,2808.0,2315.0,2068.0,642.0,469.0,39.01,39.01,33.53,26.331999999999997
2013-01-19,3224.0,2166.0,1835.0,1222.0,1208.0,32.86,40.95,32.86,26.425
2013-01-20,2423.0,2026.0,1790.0,537.0,487.0,30.41,30.41,30.41,25.225
2013-01-21,3472.0,1834.0,1893.0,2028.0,2320.0,21.96,21.96,21.96,27.488000000000003
2013-01-22,3853.0,2313.0,1991.0,1798.0,1815.0,33.23,33.23,33.23,27.149
2013-01-23,2681.0,2537.0,2106.0,449.0,341.0,38.23,42.54,38.23,27.175
2013-01-24,2275.0,2252.0,2143.0,83.0,122.0,39.67,39.67,34.46,26.944000000000003
2013-01-25,2345.0,2431.0,1986.0,48.0,44.0,39.17,39.17,39.17,27.006999999999998
2013-01-26,3408.0,2623.0,1838.0,1287.0,1816.0,32.06,32.06,28.41,29.658
2013-01-27,2826.0,2277.0,1835.0,622.0,967.0,29.5,37.45,29.5,26.862
2013-01-28,3403.0,1984.0,1898.0,1761.0,1867.0,30.74,30.74,28.24,26.945999999999998
2013-01-29,3241.0,1339.0,2001.0,2301.0,2730.0,8.51,8.51,8.04,27.429000000000002
2013-01-30,3156.0,1267.0,1968.0,2314.0,2572.0,10.04,10.04,10.04,27.987
2013-01-31,2760.0,800.0,1906.0,2339.0,2193.0,-0.04,-0.04,-0.04,28.675
2013-02-01,1728.0,1442.0,1928.0,385.0,546.0,30.05,30.05,26.21,33.045
2013-02-02,2557.0,2069.0,1905.0,676.0,731.0,33.3,33.3,30.0,35.143
2013-02-03,2282.0,1945.0,1725.0,578.0,677.0,31.26,31.26,26.88,34.385999999999996
2013-02-04,2045.0,1392.0,1832.0,951.0,802.0,26.09,26.09,26.09,41.705
2013-02-05,2595.0,1292.0,1973.0,1599.0,2323.0,8.77,35.0,8.77,46.446999999999996
2013-02-06,2767.0,2367.0,1941.0,787.0,754.0,33.94,33.94,30.0,58.518
2013-02-07,2434.0,2043.0,2016.0,589.0,678.0,35.08,35.08,32.96,63.848
2013-02-08,2568.0,2131.0,1982.0,490.0,581.0,36.23,38.0,36.23,54.63399999999999
2013-02-09,2394.0,1874.0,1862.0,343.0,560.0,35.15,38.9,35.15,33.875
2013-02-10,2081.0,2057.0,1787.0,30.0,65.0,35.61,35.61,31.75,32.188
2013-02-11,2708.0,2031.0,1904.0,866.0,737.0,34.79,34.79,31.07,33.162
2013-02-12,2852.0,2224.0,2045.0,790.0,669.0,37.06,37.06,35.1,29.018
2013-02-13,2276.0,2223.0,2083.0,47.0,79.0,37.08,39.64,37.08,28.383000000000003
2013-02-14,3042.0,2574.0,2051.0,738.0,827.0,36.72,36.72,36.72,27.725
2013-02-15,2916.0,2265.0,2025.0,850.0,945.0,35.59,35.59,31.18,28.038
2013-02-16,2219.0,2124.0,1817.0,85.0,100.0,35.79,35.79,35.79,27.019000000000002
2013-02-17,2001.0,2023.0,1727.0,39.0,80.0,35.33,35.33,33.0,26.275
2013-02-18,2388.0,2024.0,1899.0,399.0,580.0,35.95,35.95,32.0,34.714
