,Business Type,Power System Resource  Type,Settlement Date,Settlement Period,Quantity ,Resolution
82,Wind generation,Wind Onshore,2015-01-08,25,3013.0,PT30M
83,Solar generation,Solar,2015-01-08,25,512.0,PT30M
84,Solar generation,Solar,2015-01-08,39,0.0,PT30M
85,Wind generation,Wind Offshore,2015-01-08,39,3275.0,PT30M
86,Wind generation,Wind Onshore,2015-01-08,39,3273.0,PT30M
87,Wind generation,Wind Offshore,2015-01-08,40,3352.0,PT30M
88,Wind generation,Wind Onshore,2015-01-08,40,3417.0,PT30M
89,Solar generation,Solar,2015-01-08,40,0.0,PT30M
90,Wind generation,Wind Offshore,2015-01-09,1,2431.0,PT30M
91,Wind generation,Wind Onshore,2015-01-09,1,2452.0,PT30M
92,Solar generation,Solar,2015-01-09,1,0.0,PT30M
93,Wind generation,Wind Offshore,2015-01-09,2,2502.0,PT30M
94,Wind generation,Wind Onshore,2015-01-09,2,2411.0,PT30M
95,Solar generation,Solar,2015-01-09,2,0.0,PT30M
96,Wind generation,Wind Offshore,2015-01-09,14,3430.0,PT30M
97,Wind generation,Wind Onshore,2015-01-09,14,2142.0,PT30M
98,Solar generation,Solar,2015-01-09,14,0.0,PT30M
99,Wind generation,Wind Offshore,2015-01-09,15,3467.0,PT30M
100,Wind generation,Wind Onshore,2015-01-09,15,2445.0,PT30M
101,Solar generation,Solar,2015-01-09,15,0.0,PT30M
102,Wind generation,Wind Offshore,2015-01-09,28,3315.0,PT30M
103,Wind generation,Wind Onshore,2015-01-09,28,2793.0,PT30M
104,Solar generation,Solar,2015-01-09,28,570.0,PT30M
105,Wind generation,Wind Offshore,2015-01-09,29,3359.0,PT30M
106,Wind generation,Wind Onshore,2015-01-09,29,2571.0,PT30M
107,Solar generation,Solar,2015-01-09,29,461.0,PT30M
108,Wind generation,Wind Offshore,2015-01-09,43,3462.0,PT30M
109,Wind generation,Wind Onshore,2015-01-09,43,3717.0,PT30M
110,Solar generation,Solar,2015-01-09,43,0.0,PT30M
111,Wind generation,Wind Offshore,2015-01-09,44,3388.0,PT30M
112,Wind generation,Wind Onshore,2015-01-09,44,3580.0,PT30M
113,Solar generation,Solar,2015-01-09,44,0.0,PT30M
114,Wind generation,Wind Offshore,2015-01-10,5,2915.0,PT30M
115,Wind generation,Wind Onshore,2015-01-10,5,3139.0,PT30M
116,Solar generation,Solar,2015-01-10,5,0.0,PT30M
117,Wind generation,Wind Offshore,2015-01-10,6,2739.0,PT30M
118,Wind generation,Wind Onshore,2015-01-10,6,3069.0,PT30M
119,Solar generation,Solar,2015-01-10,6,0.0,PT30M
120,Wind generation,Wind Offshore,2015-01-10,20,3058.0,PT30M
121,Wind generation,Wind Onshore,2015-01-10,20,3175.0,PT30M
122,Solar generation,Solar,2015-01-10,20,103.0,PT30M
123,Wind generation,Wind Offshore,2015-01-10,21,3093.0,PT30M
124,Wind generation,Wind Onshore,2015-01-10,21,3364.0,PT30M
125,Solar generation,Solar,2015-01-10,21,176.0,PT30M
126,Wind generation,Wind Offshore,2015-01-10,22,3121.0,PT30M
127,Wind generation,Wind Onshore,2015-01-10,22,3511.0,PT30M
128,Solar generation,Solar,2015-01-10,22,252.0,PT30M
129,Wind generation,Wind Offshore,2015-01-10,25,3354.0,PT30M
130,Wind generation,Wind Onshore,2015-01-10,25,3628.0,PT30M
131,Solar generation,Solar,2015-01-10,25,658.0,PT30M
132,Wind generation,Wind Offshore,2015-01-10,26,3323.0,PT30M
133,Wind generation,Wind Onshore,2015-01-10,26,3743.0,PT30M
134,Solar generation,Solar,2015-01-10,26,703.0,PT30M
135,Wind generation,Wind Offshore,2015-01-10,39,3398.0,PT30M
136,Wind generation,Wind Onshore,2015-01-10,39,3271.0,PT30M
137,Solar generation,Solar,2015-01-10,39,0.0,PT30M
138,Wind generation,Wind Offshore,2015-01-10,40,3372.0,PT30M
139,Wind generation,Wind Onshore,2015-01-10,40,3392.0,PT30M
140,Solar generation,Solar,2015-01-10,40,0.0,PT30M
141,Wind generation,Wind Offshore,2015-01-10,46,3372.0,PT30M
142,Wind generation,Wind Onshore,2015-01-10,46,3373.0,PT30M
143,Solar generation,Solar,2015-01-10,46,0.0,PT30M
144,Wind generation,Wind Offshore,2015-01-10,47,3368.0,PT30M
145,Wind generation,Wind Onshore,2015-01-10,47,3386.0,PT30M
146,Solar generation,Solar,2015-01-10,47,0.0,PT30M
147,Wind generation,Wind Offshore,2015-01-11,7,3397.0,PT30M
148,Wind generation,Wind Onshore,2015-01-11,7,2870.0,PT30M
149,Solar generation,Solar,2015-01-11,7,0.0,PT30M
150,Wind generation,Wind Offshore,2015-01-11,8,3402.0,PT30M
151,Wind generation,Wind Onshore,2015-01-11,8,2856.0,PT30M
152,Solar generation,Solar,2015-01-11,8,0.0,PT30M
153,Wind generation,Wind Offshore,2015-01-11,18,3406.0,PT30M
154,Wind generation,Wind Onshore,2015-01-11,18,2741.0,PT30M
155,Solar generation,Solar,2015-01-11,18,34.0,PT30M
156,Solar generation,Solar,2015-01-11,19,51.0,PT30M
157,Wind generation,Wind Offshore,2015-01-11,19,3407.0,PT30M
158,Wind generation,Wind Onshore,2015-01-11,19,2783.0,PT30M
159,Wind generation,Wind Offshore,2015-01-11,20,3403.0,PT30M
160,Wind generation,Wind Onshore,2015-01-11,20,2916.0,PT30M
161,Solar generation,Solar,2015-01-11,20,192.0,PT30M
162,Wind generation,Wind Offshore,2015-01-11,25,3376.0,PT30M
163,Wind generation,Wind Onshore,2015-01-11,25,3448.0,PT30M
164,Solar generation,Solar,2015-01-11,25,780.0,PT30M
165,Wind generation,Wind Offshore,2015-01-11,26,3384.0,PT30M
166,Wind generation,Wind Onshore,2015-01-11,26,3517.0,PT30M
167,Solar generation,Solar,2015-01-11,26,772.0,PT30M
168,Wind generation,Wind Offshore,2015-01-11,37,3390.0,PT30M
169,Wind generation,Wind Onshore,2015-01-11,37,3837.0,PT30M
170,Solar generation,Solar,2015-01-11,37,0.0,PT30M
171,Wind generation,Wind Offshore,2015-01-11,38,3389.0,PT30M
172,Wind generation,Wind Onshore,2015-01-11,38,3826.0,PT30M
173,Solar generation,Solar,2015-01-11,38,0.0,PT30M
174,Wind generation,Wind Offshore,2015-01-12,1,3400.0,PT30M
175,Wind generation,Wind Onshore,2015-01-12,1,2770.0,PT30M
176,Solar generation,Solar,2015-01-12,1,0.0,PT30M
177,Wind generation,Wind Offshore,2015-01-12,14,2616.0,PT30M
178,Wind generation,Wind Onshore,2015-01-12,14,3179.0,PT30M
179,Solar generation,Solar,2015-01-12,14,0.0,PT30M
180,Wind generation,Wind Offshore,2015-01-12,15,2631.0,PT30M
181,Wind generation,Wind Onshore,2015-01-12,15,3180.0,PT30M
182,Solar generation,Solar,2015-01-12,15,0.0,PT30M
183,Wind generation,Wind Offshore,2015-01-12,16,2834.0,PT30M
184,Wind generation,Wind Onshore,2015-01-12,16,3098.0,PT30M
185,Solar generation,Solar,2015-01-12,16,0.0,PT30M
186,Wind generation,Wind Offshore,2015-01-12,18,3163.0,PT30M
187,Wind generation,Wind Onshore,2015-01-12,18,3268.0,PT30M
188,Solar generation,Solar,2015-01-12,18,15.0,PT30M
189,Wind generation,Wind Offshore,2015-01-12,39,2601.0,PT30M
190,Wind generation,Wind Onshore,2015-01-12,39,2917.0,PT30M
191,Solar generation,Solar,2015-01-12,39,0.0,PT30M
192,Wind generation,Wind Offshore,2015-01-12,40,2558.0,PT30M
193,Wind generation,Wind Onshore,2015-01-12,40,3031.0,PT30M
194,Solar generation,Solar,2015-01-12,40,0.0,PT30M
195,Wind generation,Wind Offshore,2015-01-13,1,2854.0,PT30M
196,Wind generation,Wind Onshore,2015-01-13,1,2734.0,PT30M
197,Solar generation,Solar,2015-01-13,1,0.0,PT30M
198,Wind generation,Wind Offshore,2015-01-13,2,2950.0,PT30M
199,Wind generation,Wind Onshore,2015-01-13,2,2830.0,PT30M
200,Solar generation,Solar,2015-01-13,2,0.0,PT30M
201,Wind generation,Wind Offshore,2015-01-13,3,3100.0,PT30M
202,Wind generation,Wind Onshore,2015-01-13,3,2814.0,PT30M
203,Solar generation,Solar,2015-01-13,3,0.0,PT30M
204,Wind generation,Wind Offshore,2015-01-13,7,3065.0,PT30M
205,Wind generation,Wind Onshore,2015-01-13,7,2226.0,PT30M
206,Solar generation,Solar,2015-01-13,7,0.0,PT30M
207,Wind generation,Wind Offshore,2015-01-13,8,3017.0,PT30M
208,Wind generation,Wind Onshore,2015-01-13,8,2227.0,PT30M
209,Solar generation,Solar,2015-01-13,8,0.0,PT30M
210,Wind generation,Wind Offshore,2015-01-13,20,2471.0,PT30M
211,Wind generation,Wind Onshore,2015-01-13,20,2813.0,PT30M
212,Solar generation,Solar,2015-01-13,20,152.0,PT30M
213,Wind generation,Wind Offshore,2015-01-13,21,2171.0,PT30M
214,Wind generation,Wind Onshore,2015-01-13,21,2758.0,PT30M
215,Solar generation,Solar,2015-01-13,21,284.0,PT30M
216,Wind generation,Wind Offshore,2015-01-13,35,2896.0,PT30M
217,Wind generation,Wind Onshore,2015-01-13,35,3164.0,PT30M
218,Solar generation,Solar,2015-01-13,35,18.0,PT30M
219,Wind generation,Wind Offshore,2015-01-13,36,3013.0,PT30M
220,Wind generation,Wind Onshore,2015-01-13,36,3047.0,PT30M
221,Solar generation,Solar,2015-01-13,36,0.0,PT30M
222,Wind generation,Wind Offshore,2015-01-13,46,3124.0,PT30M
223,Wind generation,Wind Onshore,2015-01-13,46,2996.0,PT30M
224,Solar generation,Solar,2015-01-13,46,0.0,PT30M
225,Wind generation,Wind Offshore,2015-01-13,47,3201.0,PT30M
226,Wind generation,Wind Onshore,2015-01-13,47,3012.0,PT30M
227,Solar generation,Solar,2015-01-13,47,0.0,PT30M
228,Wind generation,Wind Onshore,2015-01-14,9,2733.0,PT30M
