,Business Type,Power System Resource  Type,Settlement Date,Settlement Period,Quantity,Resolution
81,Solar generation,Solar,2015-01-01,28,138.0,PT30M
82,Wind generation,Wind Offshore,2015-01-01,28,3467.215,PT30M
83,Wind generation,Wind Onshore,2015-01-01,28,5139.498,PT30M
84,Solar generation,Solar,2015-01-01,29,121.0,PT30M
85,Wind generation,Wind Offshore,2015-01-01,29,3494.388,PT30M
86,Wind generation,Wind Onshore,2015-01-01,29,5209.125,PT30M
87,Solar generation,Solar,2015-01-01,30,103.0,PT30M
88,Wind generation,Wind Offshore,2015-01-01,30,3494.388,PT30M
89,Wind generation,Wind Onshore,2015-01-01,30,5209.125,PT30M
90,Solar generation,Solar,2015-01-01,31,86.0,PT30M
91,Wind generation,Wind Offshore,2015-01-01,31,2662.724,PT30M
92,Wind generation,Wind Onshore,2015-01-01,31,5053.575,PT30M
93,Solar generation,Solar,2015-01-01,32,65.0,PT30M
94,Wind generation,Wind Offshore,2015-01-01,32,2662.724,PT30M
95,Wind generation,Wind Onshore,2015-01-01,32,5053.575,PT30M
96,Solar generation,Solar,2015-01-01,33,43.0,PT30M
97,Wind generation,Wind Offshore,2015-01-01,33,2672.0890000000004,PT30M
98,Wind generation,Wind Onshore,2015-01-01,33,4983.747,PT30M
99,Solar generation,Solar,2015-01-01,34,22.0,PT30M
100,Wind generation,Wind Offshore,2015-01-01,34,2672.0890000000004,PT30M
101,Wind generation,Wind Onshore,2015-01-01,34,4983.747,PT30M
102,Solar generation,Solar,2015-01-01,35,1.0,PT30M
103,Wind generation,Wind Offshore,2015-01-01,35,2681.357,PT30M
104,Wind generation,Wind Onshore,2015-01-01,35,4870.751,PT30M
105,Solar generation,Solar,2015-01-01,36,0.0,PT30M
106,Wind generation,Wind Offshore,2015-01-01,36,2681.357,PT30M
107,Wind generation,Wind Onshore,2015-01-01,36,4870.751,PT30M
108,Solar generation,Solar,2015-01-01,37,0.0,PT30M
109,Wind generation,Wind Offshore,2015-01-01,37,2688.018,PT30M
110,Wind generation,Wind Onshore,2015-01-01,37,4714.284000000001,PT30M
111,Solar generation,Solar,2015-01-01,38,0.0,PT30M
112,Wind generation,Wind Offshore,2015-01-01,38,2688.018,PT30M
113,Wind generation,Wind Onshore,2015-01-01,38,4714.284000000001,PT30M
114,Solar generation,Solar,2015-01-01,39,0.0,PT30M
115,Wind generation,Wind Offshore,2015-01-01,39,2693.3990000000003,PT30M
116,Wind generation,Wind Onshore,2015-01-01,39,4585.817,PT30M
117,Solar generation,Solar,2015-01-01,40,0.0,PT30M
118,Wind generation,Wind Offshore,2015-01-01,40,2693.3990000000003,PT30M
119,Wind generation,Wind Onshore,2015-01-01,40,4585.817,PT30M
120,Solar generation,Solar,2015-01-01,41,0.0,PT30M
121,Wind generation,Wind Offshore,2015-01-01,41,2697.23,PT30M
122,Wind generation,Wind Onshore,2015-01-01,41,4480.747,PT30M
123,Solar generation,Solar,2015-01-01,42,0.0,PT30M
124,Wind generation,Wind Offshore,2015-01-01,42,2697.23,PT30M
125,Wind generation,Wind Onshore,2015-01-01,42,4480.747,PT30M
126,Solar generation,Solar,2015-01-01,43,0.0,PT30M
127,Wind generation,Wind Offshore,2015-01-01,43,3540.1679999999997,PT30M
128,Wind generation,Wind Onshore,2015-01-01,43,4620.661,PT30M
129,Solar generation,Solar,2015-01-01,44,0.0,PT30M
130,Wind generation,Wind Offshore,2015-01-01,44,3540.1679999999997,PT30M
131,Wind generation,Wind Onshore,2015-01-01,44,4620.661,PT30M
132,Solar generation,Solar,2015-01-01,45,0.0,PT30M
133,Wind generation,Wind Offshore,2015-01-01,45,3532.363,PT30M
134,Wind generation,Wind Onshore,2015-01-01,45,4745.834,PT30M
135,Solar generation,Solar,2015-01-01,46,0.0,PT30M
136,Wind generation,Wind Offshore,2015-01-01,46,3532.363,PT30M
137,Wind generation,Wind Onshore,2015-01-01,46,4745.834,PT30M
138,Solar generation,Solar,2015-01-01,47,0.0,PT30M
139,Wind generation,Wind Offshore,2015-01-01,47,3518.4040000000005,PT30M
140,Wind generation,Wind Onshore,2015-01-01,47,4801.914000000001,PT30M
141,Solar generation,Solar,2015-01-01,48,0.0,PT30M
142,Wind generation,Wind Offshore,2015-01-01,48,3518.4040000000005,PT30M
143,Wind generation,Wind Onshore,2015-01-01,48,4801.914000000001,PT30M
144,Solar generation,Solar,2015-01-02,1,0.0,PT30M
145,Wind generation,Wind Offshore,2015-01-02,1,3557.6220000000003,PT30M
146,Wind generation,Wind Onshore,2015-01-02,1,5360.349,PT30M
147,Solar generation,Solar,2015-01-02,2,0.0,PT30M
148,Wind generation,Wind Offshore,2015-01-02,2,3557.6220000000003,PT30M
149,Wind generation,Wind Onshore,2015-01-02,2,5360.349,PT30M
150,Solar generation,Solar,2015-01-02,3,0.0,PT30M
151,Wind generation,Wind Offshore,2015-01-02,3,3553.565,PT30M
152,Wind generation,Wind Onshore,2015-01-02,3,5355.996999999999,PT30M
153,Solar generation,Solar,2015-01-02,4,0.0,PT30M
154,Wind generation,Wind Offshore,2015-01-02,4,3553.565,PT30M
155,Wind generation,Wind Onshore,2015-01-02,4,5355.996999999999,PT30M
156,Solar generation,Solar,2015-01-02,5,0.0,PT30M
157,Wind generation,Wind Offshore,2015-01-02,5,3546.36,PT30M
158,Wind generation,Wind Onshore,2015-01-02,5,5316.201999999999,PT30M
159,Solar generation,Solar,2015-01-02,6,0.0,PT30M
160,Wind generation,Wind Offshore,2015-01-02,6,3546.36,PT30M
161,Wind generation,Wind Onshore,2015-01-02,6,5316.201999999999,PT30M
162,Solar generation,Solar,2015-01-02,7,0.0,PT30M
163,Wind generation,Wind Offshore,2015-01-02,7,3535.798,PT30M
164,Wind generation,Wind Onshore,2015-01-02,7,5271.2609999999995,PT30M
