,RecordType,SettlementDate,SettlementPeriod,Zone,TimePublished,Quantity
24,DANF,20150103,25,N,20150103114800,39772
25,DANF,20150103,26,N,20150103121700,39800
26,DANF,20150103,27,N,20150103124800,39253
27,DANF,20150103,28,N,20150103131700,39141
28,DANF,20150103,29,N,20150103134700,39122
29,DANF,20150103,30,N,20150103141700,39000
30,DANF,20150103,31,N,20150103144700,39283
31,DANF,20150103,32,N,20150103151700,40024
32,DANF,20150103,33,N,20150103154700,41875
33,DANF,20150103,34,N,20150103161700,44140
34,DANF,20150103,35,N,20150103164700,45400
35,DANF,20150103,36,N,20150103171800,45290
36,DANF,20150103,37,N,20150103174700,44835
37,DANF,20150103,38,N,20150103181700,43592
38,DANF,20150103,39,N,20150103184700,42492
39,DANF,20150103,40,N,20150103191700,41026
40,DANF,20150103,41,N,20150103194700,39759
41,DANF,20150103,42,N,20150103201700,38400
42,DANF,20150103,43,N,20150103204700,36857
43,DANF,20150103,44,N,20150103211700,35463
44,DANF,20150103,45,N,20150103214700,34025
45,DANF,20150103,46,N,20150103221700,32973
46,DANF,20150103,47,N,20150103224700,31400
47,DANF,20150103,48,N,20150103231700,30300
0,DANF,20150104,1,N,20150103234700,30200
1,DANF,20150104,2,N,20150104001700,30200
2,DANF,20150104,3,N,20150104004700,29672
3,DANF,20150104,4,N,20150104011700,28721
4,DANF,20150104,5,N,20150104014700,27907
5,DANF,20150104,6,N,20150104021700,27615
6,DANF,20150104,7,N,20150104024700,27046
7,DANF,20150104,8,N,20150104031700,26234
8,DANF,20150104,9,N,20150104034700,25789
9,DANF,20150104,10,N,20150104041700,25492
10,DANF,20150104,11,N,20150104044700,25700
11,DANF,20150104,12,N,20150104051700,25896
12,DANF,20150104,13,N,20150104054600,26937
13,DANF,20150104,14,N,20150104061600,27281
14,DANF,20150104,15,N,20150104064600,28058
15,DANF,20150104,16,N,20150104071600,28620
16,DANF,20150104,17,N,20150104074600,29484
17,DANF,20150104,18,N,20150104081600,31013
18,DANF,20150104,19,N,20150104081600,33207
19,DANF,20150104,20,N,20150104091600,34955
20,DANF,20150104,21,N,20150104094600,36800
21,DANF,20150104,22,N,20150104101600,37645
22,DANF,20150104,23,N,20150104104600,38441
23,DANF,20150104,24,N,20150104111600,39127
24,DANF,20150104,25,N,20150104114700,39824
25,DANF,20150104,26,N,20150104121800,39900
26,DANF,20150104,27,N,20150104124700,39902
27,DANF,20150104,28,N,20150104131800,39517
28,DANF,20150104,29,N,20150104134700,39500
29,DANF,20150104,30,N,20150104141700,39300
30,DANF,20150104,31,N,20150104144700,39847
31,DANF,20150104,32,N,20150104151700,41048
32,DANF,20150104,33,N,20150104154700,43288
33,DANF,20150104,34,N,20150104161700,45469
34,DANF,20150104,35,N,20150104164700,46500
35,DANF,20150104,36,N,20150104171700,46222
36,DANF,20150104,37,N,20150104174700,45528
37,DANF,20150104,38,N,20150104181700,44282
38,DANF,20150104,39,N,20150104184700,43149
39,DANF,20150104,40,N,20150104191700,41727
40,DANF,20150104,41,N,20150104194700,40868
41,DANF,20150104,42,N,20150104201700,39200
42,DANF,20150104,43,N,20150104204700,37620
43,DANF,20150104,44,N,20150104211700,36107
44,DANF,20150104,45,N,20150104214700,34683
45,DANF,20150104,46,N,20150104221700,32979
46,DANF,20150104,47,N,20150104224700,30726
47,DANF,20150104,48,N,20150104231700,29200
0,DANF,20150105,1,N,20150104234700,29400
1,DANF,20150105,2,N,20150105001700,29600
2,DANF,20150105,3,N,20150105004700,29493
3,DANF,20150105,4,N,20150105011700,28852
4,DANF,20150105,5,N,20150105014700,28226
5,DANF,20150105,6,N,20150105021700,28227
6,DANF,20150105,7,N,20150105024700,27611
7,DANF,20150105,8,N,20150105031700,27112
8,DANF,20150105,9,N,20150105034700,26801
9,DANF,20150105,10,N,20150105041600,26800
10,DANF,20150105,11,N,20150105044700,27487
11,DANF,20150105,12,N,20150105051600,28653
12,DANF,20150105,13,N,20150105054600,32191
13,DANF,20150105,14,N,20150105061700,35639
14,DANF,20150105,15,N,20150105064700,39722
15,DANF,20150105,16,N,20150105071600,41890
16,DANF,20150105,17,N,20150105074700,43020
17,DANF,20150105,18,N,20150105081600,43347
18,DANF,20150105,19,N,20150105081600,44042
19,DANF,20150105,20,N,20150105091600,44400
20,DANF,20150105,21,N,20150105094600,44398
21,DANF,20150105,22,N,20150105101600,44539
22,DANF,20150105,23,N,20150105104600,44676
23,DANF,20150105,24,N,20150105111600,44720
24,DANF,20150105,25,N,20150105114700,45100
25,DANF,20150105,26,N,20150105121800,44986
26,DANF,20150105,27,N,20150105124700,44851
27,DANF,20150105,28,N,20150105131800,44764
28,DANF,20150105,29,N,20150105134700,44882
29,DANF,20150105,30,N,20150105141700,44600
30,DANF,20150105,31,N,20150105144700,44648
31,DANF,20150105,32,N,20150105151700,45594
32,DANF,20150105,33,N,20150105154700,47676
33,DANF,20150105,34,N,20150105161800,50035
34,DANF,20150105,35,N,20150105164700,50700
35,DANF,20150105,36,N,20150105171700,50492
36,DANF,20150105,37,N,20150105174700,49815
37,DANF,20150105,38,N,20150105181700,48891
38,DANF,20150105,39,N,20150105184700,47889
39,DANF,20150105,40,N,20150105191700,46362
40,DANF,20150105,41,N,20150105194700,44876
41,DANF,20150105,42,N,20150105201700,43200
42,DANF,20150105,43,N,20150105204700,41172
43,DANF,20150105,44,N,20150105211700,38601
44,DANF,20150105,45,N,20150105214700,36614
45,DANF,20150105,46,N,20150105221700,34576
46,DANF,20150105,47,N,20150105224700,32179
47,DANF,20150105,48,N,20150105231700,30700
0,DANF,20150106,1,N,20150105234700,30500
1,DANF,20150106,2,N,20150106001700,30200
2,DANF,20150106,3,N,20150106004700,29845
3,DANF,20150106,4,N,20150106011700,29085
4,DANF,20150106,5,N,20150106014700,28521
5,DANF,20150106,6,N,20150106021700,28356
6,DANF,20150106,7,N,20150106024700,27784
7,DANF,20150106,8,N,20150106031700,27217
8,DANF,20150106,9,N,20150106034700,26800
9,DANF,20150106,10,N,20150106041700,26858
10,DANF,20150106,11,N,20150106044600,27511
11,DANF,20150106,12,N,20150106051600,28701
12,DANF,20150106,13,N,20150106054700,31756
13,DANF,20150106,14,N,20150106061600,35192
14,DANF,20150106,15,N,20150106064700,39041
15,DANF,20150106,16,N,20150106071600,41463
16,DANF,20150106,17,N,20150106074600,42929
17,DANF,20150106,18,N,20150106081600,42646
18,DANF,20150106,19,N,20150106081600,43204
19,DANF,20150106,20,N,20150106091700,43400
20,DANF,20150106,21,N,20150106094600,43273
21,DANF,20150106,22,N,20150106101600,43215
22,DANF,20150106,23,N,20150106104600,43310
23,DANF,20150106,24,N,20150106111600,43324
24,DANF,20150106,25,N,20150106114800,43599
25,DANF,20150106,26,N,20150106121800,43700
26,DANF,20150106,27,N,20150106124800,43600
27,DANF,20150106,28,N,20150106131800,43642
28,DANF,20150106,29,N,20150106134800,43905
29,DANF,20150106,30,N,20150106141800,43845
30,DANF,20150106,31,N,20150106144800,44054
31,DANF,20150106,32,N,20150106151800,45577
32,DANF,20150106,33,N,20150106154700,48022
33,DANF,20150106,34,N,20150106161800,49849
34,DANF,20150106,35,N,20150106164800,50300
35,DANF,20150106,36,N,20150106171700,50094
36,DANF,20150106,37,N,20150106174800,49809
37,DANF,20150106,38,N,20150106181700,49100
38,DANF,20150106,39,N,20150106184700,47982
39,DANF,20150106,40,N,20150106191700,46498
40,DANF,20150106,41,N,20150106194700,44944
41,DANF,20150106,42,N,20150106201700,43300
42,DANF,20150106,43,N,20150106204700,41267
43,DANF,20150106,44,N,20150106211700,38882
44,DANF,20150106,45,N,20150106214700,36673
45,DANF,20150106,46,N,20150106221700,34797
46,DANF,20150106,47,N,20150106224700,32341
47,DANF,20150106,48,N,20150106231700,31000
0,DANF,20150107,1,N,20150106234700,30500
1,DANF,20150107,2,N,20150107001700,30800
2,DANF,20150107,3,N,20150107004700,30472
3,DANF,20150107,4,N,20150107011700,29706
4,DANF,20150107,5,N,20150107014700,29101
5,DANF,20150107,6,N,20150107021700,28961
6,DANF,20150107,7,N,20150107024700,28088
7,DANF,20150107,8,N,20150107031700,27572
8,DANF,20150107,9,N,20150107034700,27089
9,DANF,20150107,10,N,20150107041700,27000
10,DANF,20150107,11,N,20150107044700,27673
11,DANF,20150107,12,N,20150107051800,28694
12,DANF,20150107,13,N,20150107054700,31951
13,DANF,20150107,14,N,20150107061700,35467
14,DANF,20150107,15,N,20150107064700,39897
15,DANF,20150107,16,N,20150107071600,42399
16,DANF,20150107,17,N,20150107074700,43232
17,DANF,20150107,18,N,20150107081700,42846
18,DANF,20150107,19,N,20150107081700,43305
19,DANF,20150107,20,N,20150107091700,43400
20,DANF,20150107,21,N,20150107094700,43289
21,DANF,20150107,22,N,20150107101600,43248
22,DANF,20150107,23,N,20150107104600,43359
23,DANF,20150107,24,N,20150107111600,43390
24,DANF,20150107,25,N,20150107114800,43662
25,DANF,20150107,26,N,20150107121800,44100
26,DANF,20150107,27,N,20150107124800,43967
27,DANF,20150107,28,N,20150107131800,43910
28,DANF,20150107,29,N,20150107134800,44073
29,DANF,20150107,30,N,20150107141800,43910
30,DANF,20150107,31,N,20150107144800,43900
31,DANF,20150107,32,N,20150107151800,45185
32,DANF,20150107,33,N,20150107154800,47364
33,DANF,20150107,34,N,20150107161800,48912
34,DANF,20150107,35,N,20150107164800,49100
35,DANF,20150107,36,N,20150107171800,48788
36,DANF,20150107,37,N,20150107174700,48400
37,DANF,20150107,38,N,20150107181800,47604
38,DANF,20150107,39,N,20150107184800,46414
39,DANF,20150107,40,N,20150107191700,44876
40,DANF,20150107,41,N,20150107194700,43278
41,DANF,20150107,42,N,20150107201700,41700
42,DANF,20150107,43,N,20150107204700,39676
43,DANF,20150107,44,N,20150107211700,37406
44,DANF,20150107,45,N,20150107214700,35319
45,DANF,20150107,46,N,20150107221800,33529
46,DANF,20150107,47,N,20150107224800,31178
47,DANF,20150107,48,N,20150107231700,29900
0,DANF,20150108,1,N,20150107234700,29500
1,DANF,20150108,2,N,20150108001700,29500
2,DANF,20150108,3,N,20150108004700,29207
3,DANF,20150108,4,N,20150108011700,28510
4,DANF,20150108,5,N,20150108014700,27870
5,DANF,20150108,6,N,20150108021700,27608
6,DANF,20150108,7,N,20150108024700,26867
7,DANF,20150108,8,N,20150108031700,26169
8,DANF,20150108,9,N,20150108034700,25800
9,DANF,20150108,10,N,20150108041700,25972
10,DANF,20150108,11,N,20150108044700,26563
11,DANF,20150108,12,N,20150108051700,27696
12,DANF,20150108,13,N,20150108054700,30844
13,DANF,20150108,14,N,20150108061700,34702
14,DANF,20150108,15,N,20150108064700,38661
15,DANF,20150108,16,N,20150108071700,41161
16,DANF,20150108,17,N,20150108074700,42144
17,DANF,20150108,18,N,20150108081600,41948
18,DANF,20150108,19,N,20150108081600,42644
19,DANF,20150108,20,N,20150108091700,42843
20,DANF,20150108,21,N,20150108094700,43000
21,DANF,20150108,22,N,20150108101700,43195
22,DANF,20150108,23,N,20150108104600,44000
23,DANF,20150108,24,N,20150108111600,43950
24,DANF,20150108,25,N,20150108114800,43989
25,DANF,20150108,26,N,20150108121800,43904
26,DANF,20150108,27,N,20150108124800,43180
27,DANF,20150108,28,N,20150108131800,43000
28,DANF,20150108,29,N,20150108134800,43103
29,DANF,20150108,30,N,20150108141800,43074
30,DANF,20150108,31,N,20150108144800,43234
31,DANF,20150108,32,N,20150108151800,44079
32,DANF,20150108,33,N,20150108154800,45908
33,DANF,20150108,34,N,20150108161800,48769
34,DANF,20150108,35,N,20150108164800,49800
35,DANF,20150108,36,N,20150108171800,49595
36,DANF,20150108,37,N,20150108174800,49204
37,DANF,20150108,38,N,20150108181700,48549
38,DANF,20150108,39,N,20150108184700,47369
39,DANF,20150108,40,N,20150108191800,45826
40,DANF,20150108,41,N,20150108194700,44455
41,DANF,20150108,42,N,20150108201800,42400
42,DANF,20150108,43,N,20150108204800,40164
43,DANF,20150108,44,N,20150108211700,37378
44,DANF,20150108,45,N,20150108214700,35394
45,DANF,20150108,46,N,20150108221800,33479
46,DANF,20150108,47,N,20150108224800,31307
47,DANF,20150108,48,N,20150108231700,29900
0,DANF,20150109,1,N,20150108234700,29200
1,DANF,20150109,2,N,20150109001700,29100
2,DANF,20150109,3,N,20150109004700,28833
3,DANF,20150109,4,N,20150109011700,28051
4,DANF,20150109,5,N,20150109014700,27517
5,DANF,20150109,6,N,20150109021700,27238
6,DANF,20150109,7,N,20150109024700,26693
7,DANF,20150109,8,N,20150109031700,26212
8,DANF,20150109,9,N,20150109034700,25910
9,DANF,20150109,10,N,20150109041700,25800
10,DANF,20150109,11,N,20150109044700,26269
11,DANF,20150109,12,N,20150109051700,27212
12,DANF,20150109,13,N,20150109054700,30397
13,DANF,20150109,14,N,20150109061700,33788
14,DANF,20150109,15,N,20150109064600,38069
15,DANF,20150109,16,N,20150109071600,40284
16,DANF,20150109,17,N,20150109074600,41059
17,DANF,20150109,18,N,20150109081700,41049
18,DANF,20150109,19,N,20150109081700,41567
19,DANF,20150109,20,N,20150109091700,41865
20,DANF,20150109,21,N,20150109094700,41900
21,DANF,20150109,22,N,20150109101700,41892
22,DANF,20150109,23,N,20150109104600,42026
23,DANF,20150109,24,N,20150109111700,42001
24,DANF,20150109,25,N,20150109114900,42100
25,DANF,20150109,26,N,20150109121800,40848
26,DANF,20150109,27,N,20150109124800,40800
27,DANF,20150109,28,N,20150109131800,40853
28,DANF,20150109,29,N,20150109134800,40981
29,DANF,20150109,30,N,20150109141800,40800
30,DANF,20150109,31,N,20150109144800,40896
31,DANF,20150109,32,N,20150109151700,41888
32,DANF,20150109,33,N,20150109154800,43708
33,DANF,20150109,34,N,20150109161800,45964
34,DANF,20150109,35,N,20150109164800,46800
35,DANF,20150109,36,N,20150109171800,46240
36,DANF,20150109,37,N,20150109174700,45521
37,DANF,20150109,38,N,20150109181700,44267
38,DANF,20150109,39,N,20150109184700,42779
39,DANF,20150109,40,N,20150109191700,41201
40,DANF,20150109,41,N,20150109194700,39585
41,DANF,20150109,42,N,20150109201700,38000
42,DANF,20150109,43,N,20150109204700,36244
43,DANF,20150109,44,N,20150109211800,34258
44,DANF,20150109,45,N,20150109214700,32623
45,DANF,20150109,46,N,20150109221800,31202
46,DANF,20150109,47,N,20150109224800,29374
47,DANF,20150109,48,N,20150109231700,28200
0,DANF,20150110,1,N,20150109234700,28000
1,DANF,20150110,2,N,20150110001700,28000
2,DANF,20150110,3,N,20150110004700,27570
3,DANF,20150110,4,N,20150110011700,26617
4,DANF,20150110,5,N,20150110014700,25981
5,DANF,20150110,6,N,20150110021700,25683
6,DANF,20150110,7,N,20150110024700,25080
7,DANF,20150110,8,N,20150110031700,24277
8,DANF,20150110,9,N,20150110034700,23634
9,DANF,20150110,10,N,20150110041700,23403
10,DANF,20150110,11,N,20150110044700,23300
11,DANF,20150110,12,N,20150110051700,23752
