PRODUCT_BID,TICKERCODE,NOTATIONTIME,PRICE_TIMEZONE,DELIVERY_START,DELIVERY_END,PRICE,VOLATILITY,POINT_NAME,VALUE_TYPE_SHORTNAME,DELIVERY_PERIOD_TYPE_SHORTNAME,PRICE_SOURCE_SHORTNAME,PRICE_PROVIDER_SHORTNAME,DELIVERY_PERIOD_TYPE_NAME,VALUE_TYPE_NAME,PRODUCT_NAME,PRICE_TYPE_NAME,DWH_ARC_BATCH_ID,DWH_VALID_FROM,DWH_LOAD_DATE
1000166,PA0003068.6.0,01-01-13 00:00:00,CEST,01-01-13 00:00:00,02-01-13 00:00:00,60.75,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,150787,02-01-13 22:04:18,31-07-20 14:26:55
1000166,PA0003068.6.0,01-01-13 00:00:00,CEST,01-01-13 00:00:00,02-01-13 00:00:00,60.65,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,31-07-20 14:26:55
1000166,PA0003068.6.0,01-01-13 00:00:00,CEST,01-01-13 00:00:00,02-01-13 00:00:00,60.85,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,31-07-20 14:26:55
1000166,PA0003068.6.0,02-01-13 00:00:00,CEST,02-01-13 00:00:00,03-01-13 00:00:00,61.8,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,150787,02-01-13 22:04:18,07-06-17 11:14:57
1000166,PA0003068.6.0,02-01-13 00:00:00,CEST,02-01-13 00:00:00,03-01-13 00:00:00,61.7,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 11:14:57
1000166,PA0003068.6.0,02-01-13 00:00:00,CEST,02-01-13 00:00:00,03-01-13 00:00:00,61.9,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 11:14:57
1000166,PA0003068.6.0,03-01-13 00:00:00,CEST,03-01-13 00:00:00,04-01-13 00:00:00,61.6,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,150970,03-01-13 22:03:00,07-06-17 11:14:57
1000166,PA0003068.6.0,03-01-13 00:00:00,CEST,03-01-13 00:00:00,04-01-13 00:00:00,61.7,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 11:14:57
1000166,PA0003068.6.0,03-01-13 00:00:00,CEST,03-01-13 00:00:00,04-01-13 00:00:00,61.5,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 11:14:57
1000166,PA0003068.6.0,04-01-13 00:00:00,CEST,04-01-13 00:00:00,05-01-13 00:00:00,62.75,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,04-01-13 00:00:00,CEST,04-01-13 00:00:00,05-01-13 00:00:00,62.85,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,151161,04-01-13 22:02:55,07-06-17 10:49:12
1000166,PA0003068.6.0,04-01-13 00:00:00,CEST,04-01-13 00:00:00,05-01-13 00:00:00,62.95,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,05-01-13 00:00:00,CEST,05-01-13 00:00:00,06-01-13 00:00:00,61.75,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,08-03-17 09:13:35
1000166,PA0003068.6.0,05-01-13 00:00:00,CEST,05-01-13 00:00:00,06-01-13 00:00:00,61.95,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,08-03-17 09:13:35
1000166,PA0003068.6.0,05-01-13 00:00:00,CEST,05-01-13 00:00:00,06-01-13 00:00:00,61.85,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,151501,08-01-13 11:52:55,08-03-17 09:13:35
1000166,PA0003068.6.0,06-01-13 00:00:00,CEST,06-01-13 00:00:00,07-01-13 00:00:00,61.85,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,151501,08-01-13 11:52:55,07-06-17 10:49:12
1000166,PA0003068.6.0,06-01-13 00:00:00,CEST,06-01-13 00:00:00,07-01-13 00:00:00,61.75,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,06-01-13 00:00:00,CEST,06-01-13 00:00:00,07-01-13 00:00:00,61.95,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,07-01-13 00:00:00,CEST,07-01-13 00:00:00,08-01-13 00:00:00,63.45,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,07-01-13 00:00:00,CEST,07-01-13 00:00:00,08-01-13 00:00:00,63.25,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,07-01-13 00:00:00,CEST,07-01-13 00:00:00,08-01-13 00:00:00,63.35,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,151501,08-01-13 11:52:55,07-06-17 10:49:12
1000166,PA0003068.6.0,08-01-13 00:00:00,CEST,08-01-13 00:00:00,09-01-13 00:00:00,65.6,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,08-01-13 00:00:00,CEST,08-01-13 00:00:00,09-01-13 00:00:00,65.675,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,151652,08-01-13 22:03:40,07-06-17 10:49:12
1000166,PA0003068.6.0,08-01-13 00:00:00,CEST,08-01-13 00:00:00,09-01-13 00:00:00,65.75,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,09-01-13 00:00:00,CEST,09-01-13 00:00:00,10-01-13 00:00:00,65.6,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,151836,09-01-13 22:03:48,07-06-17 10:49:12
1000166,PA0003068.6.0,09-01-13 00:00:00,CEST,09-01-13 00:00:00,10-01-13 00:00:00,65.5,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,09-01-13 00:00:00,CEST,09-01-13 00:00:00,10-01-13 00:00:00,65.7,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,10-01-13 00:00:00,CEST,10-01-13 00:00:00,11-01-13 00:00:00,67.3,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,10-01-13 00:00:00,CEST,10-01-13 00:00:00,11-01-13 00:00:00,67.2,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,152020,10-01-13 22:02:43,07-06-17 10:49:12
1000166,PA0003068.6.0,10-01-13 00:00:00,CEST,10-01-13 00:00:00,11-01-13 00:00:00,67.1,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,11-01-13 00:00:00,CEST,11-01-13 00:00:00,12-01-13 00:00:00,67.2,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,11-01-13 00:00:00,CEST,11-01-13 00:00:00,12-01-13 00:00:00,67,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,11-01-13 00:00:00,CEST,11-01-13 00:00:00,12-01-13 00:00:00,67.1,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,152201,11-01-13 22:04:00,07-06-17 10:49:12
1000166,PA0003068.6.0,12-01-13 00:00:00,CEST,12-01-13 00:00:00,13-01-13 00:00:00,67.1,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,08-03-17 09:13:35
1000166,PA0003068.6.0,12-01-13 00:00:00,CEST,12-01-13 00:00:00,13-01-13 00:00:00,67,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,152525,14-01-13 22:04:32,08-03-17 09:13:35
1000166,PA0003068.6.0,12-01-13 00:00:00,CEST,12-01-13 00:00:00,13-01-13 00:00:00,66.9,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,08-03-17 09:13:35
1000166,PA0003068.6.0,13-01-13 00:00:00,CEST,13-01-13 00:00:00,14-01-13 00:00:00,67.1,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,13-01-13 00:00:00,CEST,13-01-13 00:00:00,14-01-13 00:00:00,66.9,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,13-01-13 00:00:00,CEST,13-01-13 00:00:00,14-01-13 00:00:00,67,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,152525,14-01-13 22:04:32,07-06-17 10:49:12
1000166,PA0003068.6.0,14-01-13 00:00:00,CEST,14-01-13 00:00:00,15-01-13 00:00:00,68.75,,NBP,Hgh,DY,Arg,LIM,Day,High,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
1000166,PA0003068.6.0,14-01-13 00:00:00,CEST,14-01-13 00:00:00,15-01-13 00:00:00,68.65,,NBP,Mid,DY,Arg,LIM,Day,Mid,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,152525,14-01-13 22:04:32,07-06-17 10:49:12
1000166,PA0003068.6.0,14-01-13 00:00:00,CEST,14-01-13 00:00:00,15-01-13 00:00:00,68.55,,NBP,Low,DY,Arg,LIM,Day,Low,Natural Gas NBP Forward Index GBPc-Therm-GCV Day,Forward,300474,06-05-15 17:34:19,07-06-17 10:49:12
